,NumerosOriginales,Vecino 1,Vecino 2,Vecino 3,NumeroDetectado
1,1,"[np.int64(1), np.float64(41.15974412841566)]","[np.int64(1), np.float64(41.72777120405335)]","[np.int64(9), np.float64(42.4354530312986)]",1
2,1,"[np.int64(1), np.float64(38.29873951807797)]","[np.int64(1), np.float64(38.41646549622449)]","[np.int64(1), np.float64(38.487244100838254)]",1
3,1,"[np.int64(1), np.float64(40.09121970870482)]","[np.int64(1), np.float64(40.236214490868434)]","[np.int64(1), np.float64(43.16584542734142)]",1
4,2,"[np.int64(2), np.float64(37.53642588171996)]","[np.int64(2), np.float64(37.77143506923642)]","[np.int64(2), np.float64(38.08307396831061)]",2
5,2,"[np.int64(2), np.float64(43.34508881449885)]","[np.int64(2), np.float64(44.19405357506389)]","[np.int64(2), np.float64(44.2244349416182)]",2
6,2,"[np.int64(2), np.float64(39.81912778215761)]","[np.int64(2), np.float64(40.34010066479162)]","[np.int64(2), np.float64(41.120985960351234)]",2
7,3,"[np.int64(9), np.float64(37.44406834890532)]","[np.int64(9), np.float64(38.618387112163866)]","[np.int64(9), np.float64(38.66963417797833)]",0
8,3,"[np.int64(9), np.float64(39.265020928456295)]","[np.int64(9), np.float64(39.57733439639253)]","[np.int64(9), np.float64(40.24840401028165)]",0
9,3,"[np.int64(9), np.float64(40.20133356370015)]","[np.int64(9), np.float64(41.14639293634903)]","[np.int64(9), np.float64(41.46406623725338)]",0
10,4,"[np.int64(9), np.float64(47.22125089350887)]","[np.int64(9), np.float64(47.47518925471748)]","[np.int64(9), np.float64(47.605563469017085)]",0
11,4,"[np.int64(9), np.float64(51.38155990423999)]","[np.int64(9), np.float64(52.045624706925935)]","[np.int64(5), np.float64(52.858653475212655)]",0
12,4,"[np.int64(0), np.float64(52.42185300824597)]","[np.int64(9), np.float64(52.48629780363512)]","[np.int64(0), np.float64(52.64996961318332)]",0
13,5,"[np.int64(5), np.float64(41.2312569233796)]","[np.int64(5), np.float64(41.557247054826135)]","[np.int64(5), np.float64(41.734417996672164)]",5
14,5,"[np.int64(5), np.float64(44.23608450830513)]","[np.int64(5), np.float64(45.15615386023751)]","[np.int64(5), np.float64(45.288917789970405)]",5
15,5,"[np.int64(5), np.float64(46.760687458378555)]","[np.int64(5), np.float64(47.517273736451536)]","[np.int64(5), np.float64(47.63436238489454)]",5
16,6,"[np.int64(5), np.float64(42.89607300889879)]","[np.int64(0), np.float64(43.43891971782266)]","[np.int64(5), np.float64(43.93420371482068)]",0
17,6,"[np.int64(6), np.float64(45.41284871204428)]","[np.int64(6), np.float64(45.82735466930379)]","[np.int64(6), np.float64(46.09701369156441)]",6
18,6,"[np.int64(5), np.float64(47.39822022267098)]","[np.int64(5), np.float64(47.625078929298525)]","[np.int64(5), np.float64(47.66170726170377)]",0
19,7,"[np.int64(7), np.float64(34.78821473803659)]","[np.int64(7), np.float64(37.48035148454246)]","[np.int64(7), np.float64(37.76729940394983)]",7
20,7,"[np.int64(7), np.float64(38.12544219495105)]","[np.int64(7), np.float64(38.977473753536316)]","[np.int64(7), np.float64(39.03583483652019)]",7
21,7,"[np.int64(7), np.float64(40.966516836681436)]","[np.int64(7), np.float64(41.198332011789425)]","[np.int64(7), np.float64(41.398737924363154)]",7
22,8,"[np.int64(9), np.float64(44.1653384057414)]","[np.int64(9), np.float64(44.992512000348455)]","[np.int64(9), np.float64(45.573821377244954)]",0
23,8,"[np.int64(5), np.float64(47.05387637394699)]","[np.int64(9), np.float64(47.74257592887601)]","[np.int64(5), np.float64(47.75263700193128)]",0
24,8,"[np.int64(8), np.float64(45.7508833738613)]","[np.int64(8), np.float64(46.02989433646262)]","[np.int64(9), np.float64(46.280201544276515)]",8
25,9,"[np.int64(4), np.float64(40.19372025602995)]","[np.int64(7), np.float64(41.114257950782985)]","[np.int64(7), np.float64(41.182018860562884)]",0
26,9,"[np.int64(9), np.float64(53.283188364110586)]","[np.int64(9), np.float64(53.3246450535625)]","[np.int64(9), np.float64(53.50616718614007)]",9
27,9,"[np.int64(9), np.float64(52.24310369695517)]","[np.int64(9), np.float64(52.825431352865465)]","[np.int64(9), np.float64(53.736035318340605)]",9
