,NumerosOriginales,Vecino 1,Vecino 2,Vecino 3
1,1,"[1, 41.15974412841566]","[1, 41.72777120405335]","[9, 42.4354530312986]"
2,1,"[1, 38.29873951807797]","[1, 38.41646549622449]","[1, 38.487244100838254]"
3,1,"[1, 40.09121970870482]","[1, 40.236214490868434]","[1, 43.16584542734142]"
4,2,"[2, 37.53642588171996]","[2, 37.77143506923642]","[2, 38.08307396831061]"
5,2,"[2, 43.34508881449885]","[2, 44.19405357506389]","[2, 44.2244349416182]"
6,2,"[2, 39.81912778215761]","[2, 40.34010066479162]","[2, 41.120985960351234]"
7,3,"[9, 37.44406834890532]","[9, 38.618387112163866]","[9, 38.66963417797833]"
8,3,"[9, 39.265020928456295]","[9, 39.57733439639253]","[9, 40.24840401028165]"
9,3,"[9, 40.20133356370015]","[9, 41.14639293634903]","[9, 41.46406623725338]"
10,4,"[9, 47.22125089350887]","[9, 47.47518925471748]","[9, 47.605563469017085]"
11,4,"[9, 51.38155990423999]","[9, 52.045624706925935]","[5, 52.858653475212655]"
12,4,"[0, 52.42185300824597]","[9, 52.48629780363512]","[0, 52.64996961318332]"
13,5,"[5, 41.2312569233796]","[5, 41.557247054826135]","[5, 41.734417996672164]"
14,5,"[5, 44.23608450830513]","[5, 45.15615386023751]","[5, 45.288917789970405]"
15,5,"[5, 46.760687458378555]","[5, 47.517273736451536]","[5, 47.63436238489454]"
16,6,"[5, 42.89607300889879]","[0, 43.43891971782266]","[5, 43.93420371482068]"
17,6,"[6, 45.41284871204428]","[6, 45.82735466930379]","[6, 46.09701369156441]"
18,6,"[5, 47.39822022267098]","[5, 47.625078929298525]","[5, 47.66170726170377]"
19,7,"[7, 34.78821473803659]","[7, 37.48035148454246]","[7, 37.76729940394983]"
20,7,"[7, 38.12544219495105]","[7, 38.977473753536316]","[7, 39.03583483652019]"
21,7,"[7, 40.966516836681436]","[7, 41.198332011789425]","[7, 41.398737924363154]"
22,8,"[9, 44.1653384057414]","[9, 44.992512000348455]","[9, 45.573821377244954]"
23,8,"[5, 47.05387637394699]","[9, 47.74257592887601]","[5, 47.75263700193128]"
24,8,"[8, 45.7508833738613]","[8, 46.02989433646262]","[9, 46.280201544276515]"
25,9,"[4, 40.19372025602995]","[7, 41.114257950782985]","[7, 41.182018860562884]"
26,9,"[9, 53.283188364110586]","[9, 53.3246450535625]","[9, 53.50616718614007]"
27,9,"[9, 52.24310369695517]","[9, 52.825431352865465]","[9), 53.736035318340605)]"
